epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5351,0.9585,1.09373,1.12146,0.75167,0.68554,0.75839,0.60301,0.81191,0.6395,0.95938,4.76e-06,4.76e-06,4.76e-06
2,7.35587,0.9947,0.97046,1.12803,0.76821,0.70026,0.76413,0.60997,0.798,0.61157,0.95121,1.01799e-05,1.01799e-05,1.01799e-05
3,11.2426,1.04893,0.97857,1.15407,0.83511,0.68278,0.77683,0.6171,0.78321,0.60936,0.94696,1.50107e-05,1.50107e-05,1.50107e-05
4,15.2947,0.96726,0.88776,1.10129,0.83634,0.69333,0.79263,0.62265,0.78388,0.63496,0.94597,1.92524e-05,1.92524e-05,1.92524e-05
5,19.0631,0.95433,0.83713,1.1045,0.85415,0.70731,0.80048,0.63041,0.77774,0.62443,0.93854,2.29051e-05,2.29051e-05,2.29051e-05
6,23.1725,0.91103,0.7673,1.09894,0.85007,0.73843,0.80805,0.63484,0.78812,0.59143,0.936,2.59688e-05,2.59688e-05,2.59688e-05
7,27.0002,0.93536,0.77297,1.05748,0.85878,0.72547,0.80469,0.64167,0.79744,0.54826,0.9335,2.84434e-05,2.84434e-05,2.84434e-05
8,30.879,0.90458,0.7553,1.046,0.86291,0.7449,0.81148,0.65536,0.78184,0.52743,0.93144,3.03289e-05,3.03289e-05,3.03289e-05
9,34.6605,0.90926,0.73765,1.04104,0.88355,0.75128,0.81901,0.66351,0.76795,0.51684,0.9285,3.16254e-05,3.16254e-05,3.16254e-05
10,38.3975,0.85538,0.71384,1.04581,0.86902,0.77219,0.82295,0.66966,0.75912,0.50088,0.92711,3.23329e-05,3.23329e-05,3.23329e-05
11,47.9713,0.8156,0.64031,0.9673,0.86749,0.77789,0.82802,0.6742,0.74396,0.47464,0.91893,3.24513e-05,3.24513e-05,3.24513e-05
12,51.8922,0.82266,0.57265,0.98169,0.88876,0.76851,0.83316,0.68342,0.71714,0.44869,0.90937,3.19807e-05,3.19807e-05,3.19807e-05
13,55.7038,0.80248,0.57772,0.94902,0.90077,0.77138,0.84342,0.69201,0.70506,0.44774,0.90414,3.0921e-05,3.0921e-05,3.0921e-05
14,59.5719,0.7943,0.56533,0.97555,0.90216,0.7618,0.84461,0.69672,0.69114,0.44747,0.89874,2.92722e-05,2.92722e-05,2.92722e-05
15,63.2965,0.76779,0.52496,0.9374,0.89569,0.77179,0.84842,0.70269,0.68382,0.43759,0.89134,2.70344e-05,2.70344e-05,2.70344e-05
16,67.0804,0.76292,0.5208,0.94328,0.8971,0.77758,0.85143,0.70768,0.66467,0.41846,0.87897,2.42076e-05,2.42076e-05,2.42076e-05
17,70.8274,0.72012,0.4867,0.9262,0.90601,0.78548,0.85932,0.71564,0.65816,0.40995,0.87515,2.07917e-05,2.07917e-05,2.07917e-05
18,74.5692,0.73264,0.50701,0.92596,0.89789,0.80147,0.86231,0.71801,0.64812,0.40201,0.87067,1.67867e-05,1.67867e-05,1.67867e-05
19,78.3832,0.73295,0.49674,0.94757,0.89509,0.80574,0.87016,0.71652,0.64222,0.39708,0.86793,1.21927e-05,1.21927e-05,1.21927e-05
20,82.088,0.71625,0.47287,0.92038,0.89663,0.80831,0.86585,0.71736,0.63556,0.39261,0.86513,7.0097e-06,7.0097e-06,7.0097e-06
