model,epochs,tag,batch,n_logs
yolo11s.pt,5,65W,10,1
yolo11s.pt,5,65W,11,1
yolo11s.pt,5,65W,12,1
yolo11s.pt,5,65W,13,1
yolo11s.pt,5,65W,14,1
yolo11s.pt,5,65W,15,1
yolo11s.pt,5,65W,16,2
yolo11s.pt,5,65W,17,1
yolo11s.pt,5,65W,18,1
yolo11s.pt,5,65W,19,1
yolo11s.pt,5,65W,20,1
yolo11s.pt,5,65W,21,1
yolo11s.pt,5,65W,22,1
yolo11s.pt,5,65W,23,1
yolo11s.pt,5,65W,24,1
yolo11s.pt,5,65W,25,1
yolo11s.pt,5,65W,26,1
yolo11s.pt,5,65W,27,1
yolo11s.pt,5,65W,28,1
yolo11s.pt,5,65W,29,1
yolo11s.pt,5,65W,30,1
yolo11s.pt,5,65W,31,1
yolo11s.pt,5,65W,32,2
yolo11s.pt,10,65W,1,4
yolo11s.pt,10,65W,2,1
yolo11s.pt,10,65W,3,1
yolo11s.pt,10,65W,4,1
yolo11s.pt,10,65W,5,1
yolo11s.pt,10,65W,6,1
yolo11s.pt,10,65W,7,1
yolo11s.pt,10,65W,8,4
yolo11s.pt,10,65W,9,1
yolo11s.pt,10,65W,10,1
yolo11s.pt,10,65W,11,1
yolo11s.pt,10,65W,12,1
yolo11s.pt,10,65W,13,1
yolo11s.pt,10,65W,14,1
yolo11s.pt,10,65W,15,1
yolo11s.pt,10,65W,16,4
yolo11s.pt,10,65W,17,1
yolo11s.pt,10,65W,18,1
yolo11s.pt,10,65W,19,1
yolo11s.pt,10,65W,20,1
yolo11s.pt,10,65W,21,1
yolo11s.pt,10,65W,22,1
yolo11s.pt,10,65W,23,1
yolo11s.pt,10,65W,24,1
yolo11s.pt,10,65W,25,1
yolo11s.pt,10,65W,26,1
yolo11s.pt,10,65W,27,1
yolo11s.pt,10,65W,28,1
yolo11s.pt,10,65W,29,1
yolo11s.pt,10,65W,30,1
yolo11s.pt,10,65W,31,1
yolo11s.pt,10,65W,32,4
yolo11s.pt,20,65W,1,2
yolo11s.pt,20,65W,2,1
yolo11s.pt,20,65W,3,1
yolo11s.pt,20,65W,4,1
yolo11s.pt,20,65W,5,1
yolo11s.pt,20,65W,6,1
yolo11s.pt,20,65W,7,1
yolo11s.pt,20,65W,8,2
yolo11s.pt,20,65W,9,1
yolo11s.pt,20,65W,10,1
yolo11s.pt,20,65W,11,1
yolo11s.pt,20,65W,12,1
yolo11s.pt,20,65W,13,1
yolo11s.pt,20,65W,14,1
yolo11s.pt,20,65W,15,1
yolo11s.pt,20,65W,16,2
yolo11s.pt,20,65W,17,1
yolo11s.pt,20,65W,18,1
yolo11s.pt,20,65W,19,1
yolo11s.pt,20,65W,20,1
yolo11s.pt,20,65W,21,1
yolo11s.pt,20,65W,22,1
yolo11s.pt,20,65W,23,1
yolo11s.pt,20,65W,24,1
yolo11s.pt,20,65W,25,1
yolo11s.pt,20,65W,26,1
yolo11s.pt,20,65W,27,1
yolo11s.pt,20,65W,28,1
yolo11s.pt,20,65W,29,1
yolo11s.pt,20,65W,30,1
yolo11s.pt,20,65W,31,1
yolo11s.pt,20,65W,32,2
yolo11m.pt,1,65W,1,4
yolo11m.pt,1,65W,2,1
yolo11m.pt,1,65W,3,1
yolo11m.pt,1,65W,4,1
yolo11m.pt,1,65W,5,1
yolo11m.pt,1,65W,6,1
yolo11m.pt,1,65W,7,1
yolo11m.pt,1,65W,8,4
yolo11m.pt,1,65W,9,1
yolo11m.pt,1,65W,10,1
yolo11m.pt,1,65W,11,1
yolo11m.pt,1,65W,12,1
yolo11m.pt,1,65W,13,1
yolo11m.pt,1,65W,14,1
yolo11m.pt,1,65W,15,1
yolo11m.pt,1,65W,16,4
yolo11m.pt,1,65W,17,1
yolo11m.pt,1,65W,18,1
yolo11m.pt,1,65W,19,1
yolo11m.pt,1,65W,20,1
yolo11m.pt,1,65W,21,1
yolo11m.pt,1,65W,22,1
yolo11m.pt,1,65W,23,1
yolo11m.pt,1,65W,24,1
yolo11m.pt,1,65W,25,1
yolo11m.pt,1,65W,26,1
yolo11m.pt,1,65W,27,1
yolo11m.pt,1,65W,28,1
yolo11m.pt,1,65W,29,1
yolo11m.pt,1,65W,30,1
yolo11m.pt,1,65W,31,1
yolo11m.pt,1,65W,32,4
yolo11m.pt,5,65W,1,2
yolo11m.pt,5,65W,2,1
yolo11m.pt,5,65W,3,1
yolo11m.pt,5,65W,4,1
yolo11m.pt,5,65W,5,1
yolo11m.pt,5,65W,6,1
yolo11m.pt,5,65W,7,1
yolo11m.pt,5,65W,8,2
yolo11m.pt,5,65W,9,1
yolo11m.pt,5,65W,10,1
yolo11m.pt,5,65W,11,1
yolo11m.pt,5,65W,12,1
yolo11m.pt,5,65W,13,1
yolo11m.pt,5,65W,14,1
yolo11m.pt,5,65W,15,1
yolo11m.pt,5,65W,16,2
yolo11m.pt,5,65W,17,1
yolo11m.pt,5,65W,18,1
yolo11m.pt,5,65W,19,1
yolo11m.pt,5,65W,20,1
yolo11m.pt,5,65W,21,1
yolo11m.pt,5,65W,22,1
yolo11m.pt,5,65W,23,1
yolo11m.pt,5,65W,24,1
yolo11m.pt,5,65W,25,1
yolo11m.pt,5,65W,26,1
yolo11m.pt,5,65W,27,1
yolo11m.pt,5,65W,28,1
yolo11m.pt,5,65W,29,1
yolo11m.pt,5,65W,30,1
yolo11m.pt,5,65W,31,1
yolo11m.pt,5,65W,32,2
yolo11m.pt,10,65W,1,4
yolo11m.pt,10,65W,2,1
yolo11m.pt,10,65W,3,1
yolo11m.pt,10,65W,4,1
yolo11m.pt,10,65W,5,1
yolo11m.pt,10,65W,6,1
yolo11m.pt,10,65W,7,1
yolo11m.pt,10,65W,8,4
yolo11m.pt,10,65W,9,1
yolo11m.pt,10,65W,10,1
yolo11m.pt,10,65W,11,1
yolo11m.pt,10,65W,12,1
yolo11m.pt,10,65W,13,1
yolo11m.pt,10,65W,14,1
yolo11m.pt,10,65W,15,1
yolo11m.pt,10,65W,16,4
yolo11m.pt,10,65W,17,1
yolo11m.pt,10,65W,18,1
yolo11m.pt,10,65W,19,1
yolo11m.pt,10,65W,20,1
yolo11m.pt,10,65W,21,1
yolo11m.pt,10,65W,22,1
yolo11m.pt,10,65W,23,1
yolo11m.pt,10,65W,24,1
yolo11m.pt,10,65W,25,1
yolo11m.pt,10,65W,26,1
yolo11m.pt,10,65W,27,1
yolo11m.pt,10,65W,28,1
yolo11m.pt,10,65W,29,1
yolo11m.pt,10,65W,30,1
yolo11m.pt,10,65W,31,1
yolo11m.pt,10,65W,32,4
yolo11m.pt,20,65W,1,2
yolo11m.pt,20,65W,2,1
yolo11m.pt,20,65W,3,1
yolo11m.pt,20,65W,4,1
yolo11m.pt,20,65W,5,1
yolo11m.pt,20,65W,6,1
yolo11m.pt,20,65W,7,1
yolo11m.pt,20,65W,8,2
yolo11m.pt,20,65W,9,1
yolo11m.pt,20,65W,10,1
yolo11m.pt,20,65W,11,1
yolo11m.pt,20,65W,12,1
yolo11m.pt,20,65W,13,1
yolo11m.pt,20,65W,14,1
yolo11m.pt,20,65W,15,1
yolo11m.pt,20,65W,16,2
yolo11m.pt,20,65W,17,1
yolo11m.pt,20,65W,18,1
yolo11m.pt,20,65W,19,1
yolo11m.pt,20,65W,20,1
yolo11m.pt,20,65W,21,1
yolo11m.pt,20,65W,22,1
yolo11m.pt,20,65W,23,1
yolo11m.pt,20,65W,24,1
yolo11m.pt,20,65W,25,1
yolo11m.pt,20,65W,26,1
yolo11m.pt,20,65W,27,1
yolo11m.pt,20,65W,28,1
yolo11m.pt,20,65W,29,1
yolo11m.pt,20,65W,30,1
yolo11m.pt,20,65W,31,1
yolo11m.pt,20,65W,32,2
yolo11x.pt,1,65W,1,1
yolo11x.pt,1,65W,2,1
yolo11x.pt,1,65W,3,1
yolo11x.pt,1,65W,4,1
yolo11x.pt,1,65W,5,1
yolo11x.pt,1,65W,6,1
yolo11x.pt,1,65W,7,1
yolo11x.pt,1,65W,8,1
yolo11x.pt,1,65W,9,1
yolo11x.pt,1,65W,10,1
yolo11x.pt,1,65W,11,1
yolo11x.pt,1,65W,12,1
yolo11x.pt,1,65W,13,1
yolo11x.pt,1,65W,14,1
yolo11x.pt,1,65W,15,1
yolo11x.pt,1,65W,16,1
yolo11x.pt,1,65W,17,1
yolo11x.pt,1,65W,18,1
yolo11x.pt,1,65W,19,1
yolo11x.pt,1,65W,20,1
yolo11x.pt,1,65W,21,1
yolo11x.pt,1,65W,22,1
yolo11x.pt,1,65W,23,1
yolo11x.pt,1,65W,24,1
yolo11x.pt,1,65W,25,1
yolo11x.pt,1,65W,26,1
yolo11x.pt,1,65W,27,1
yolo11x.pt,1,65W,28,1
yolo11x.pt,1,65W,29,1
yolo11x.pt,1,65W,30,1
yolo11x.pt,1,65W,31,1
yolo11x.pt,1,65W,32,1
yolo11x.pt,5,65W,1,1
yolo11x.pt,5,65W,2,1
yolo11x.pt,5,65W,3,1
yolo11x.pt,5,65W,4,1
yolo11x.pt,5,65W,5,1
yolo11x.pt,5,65W,6,1
yolo11x.pt,5,65W,7,1
yolo11x.pt,5,65W,8,1
yolo11x.pt,5,65W,9,1
yolo11x.pt,5,65W,10,1
yolo11x.pt,5,65W,11,1
yolo11x.pt,5,65W,12,1
yolo11x.pt,5,65W,13,1
yolo11x.pt,5,65W,14,1
yolo11x.pt,5,65W,15,1
yolo11x.pt,5,65W,16,1
yolo11x.pt,5,65W,17,1
yolo11x.pt,5,65W,18,1
yolo11x.pt,5,65W,19,1
yolo11x.pt,5,65W,20,1
yolo11x.pt,5,65W,21,1
yolo11x.pt,5,65W,22,1
yolo11x.pt,5,65W,23,1
yolo11x.pt,5,65W,24,1
yolo11x.pt,5,65W,25,1
yolo11x.pt,5,65W,26,1
yolo11x.pt,5,65W,27,1
yolo11x.pt,5,65W,28,1
yolo11x.pt,5,65W,29,1
yolo11x.pt,5,65W,30,1
yolo11x.pt,5,65W,31,1
yolo11x.pt,5,65W,32,1
yolo11x.pt,10,65W,1,1
yolo11x.pt,10,65W,2,1
yolo11x.pt,10,65W,3,1
yolo11x.pt,10,65W,4,1
yolo11x.pt,10,65W,5,1
yolo11x.pt,10,65W,6,1
yolo11x.pt,10,65W,7,1
yolo11x.pt,10,65W,8,1
yolo11x.pt,10,65W,9,1
yolo11x.pt,10,65W,10,1
yolo11x.pt,10,65W,11,1
yolo11x.pt,10,65W,12,1
yolo11x.pt,10,65W,13,1
yolo11x.pt,10,65W,14,1
yolo11x.pt,10,65W,15,1
yolo11x.pt,10,65W,16,1
yolo11x.pt,10,65W,17,1
yolo11x.pt,10,65W,18,1
yolo11x.pt,10,65W,19,1
yolo11x.pt,10,65W,20,1
yolo11x.pt,10,65W,21,1
yolo11x.pt,10,65W,22,1
yolo11x.pt,10,65W,23,1
yolo11x.pt,10,65W,24,1
yolo11x.pt,10,65W,25,1
yolo11x.pt,10,65W,26,1
yolo11x.pt,10,65W,27,1
yolo11x.pt,10,65W,28,1
yolo11x.pt,10,65W,29,1
yolo11x.pt,10,65W,30,1
yolo11x.pt,10,65W,31,1
yolo11x.pt,10,65W,32,1
yolo11x.pt,20,65W,1,1
yolo11x.pt,20,65W,2,1
yolo11x.pt,20,65W,3,1
yolo11x.pt,20,65W,4,1
yolo11x.pt,20,65W,5,1
yolo11x.pt,20,65W,6,1
yolo11x.pt,20,65W,7,1
yolo11x.pt,20,65W,8,1
yolo11x.pt,20,65W,9,1
yolo11x.pt,20,65W,10,1
yolo11x.pt,20,65W,11,1
yolo11x.pt,20,65W,12,1
yolo11x.pt,20,65W,13,1
yolo11x.pt,20,65W,14,1
yolo11x.pt,20,65W,15,1
yolo11x.pt,20,65W,16,1
yolo11x.pt,20,65W,17,1
yolo11x.pt,20,65W,18,1
yolo11x.pt,20,65W,19,1
yolo11x.pt,20,65W,20,1
yolo11x.pt,20,65W,21,1
yolo11x.pt,20,65W,22,1
yolo11x.pt,20,65W,23,1
yolo11x.pt,20,65W,24,1
yolo11x.pt,20,65W,25,1
yolo11x.pt,20,65W,26,1
yolo11x.pt,20,65W,27,1
yolo11x.pt,20,65W,28,1
yolo11x.pt,20,65W,29,1
yolo11x.pt,20,65W,30,1
yolo11x.pt,20,65W,31,1
yolo11x.pt,20,65W,32,1
