epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9425,1.15747,1.86026,1.20768,0.74508,0.68237,0.74963,0.57712,0.85431,0.69987,0.95827,3.90469e-05,3.90469e-05,3.90469e-05
2,17.0821,1.0876,1.59581,1.15423,0.78229,0.67092,0.74167,0.57065,0.88461,0.74733,0.97047,7.09209e-05,7.09209e-05,7.09209e-05
3,23.1051,1.05669,1.44841,1.13041,0.7774,0.66783,0.73787,0.56347,0.8883,0.74765,0.97281,9.49409e-05,9.49409e-05,9.49409e-05
4,29.4983,1.05907,1.31626,1.12662,0.78123,0.67318,0.7427,0.57168,0.89097,0.75472,0.97742,8.3657e-05,8.3657e-05,8.3657e-05
5,35.7138,1.05339,1.20748,1.12262,0.81127,0.65453,0.74783,0.57898,0.89137,0.75258,0.98382,7.1876e-05,7.1876e-05,7.1876e-05
6,41.9982,1.04663,1.18619,1.13682,0.78431,0.69366,0.74981,0.57851,0.88626,0.76661,0.97903,6.0095e-05,6.0095e-05,6.0095e-05
7,48.2971,0.998,1.05823,1.07719,0.81671,0.68711,0.75246,0.58448,0.86774,0.77583,0.97471,4.8314e-05,4.8314e-05,4.8314e-05
8,54.8374,0.93139,1.07684,1.03021,0.80547,0.70428,0.75802,0.58981,0.85766,0.77126,0.97251,3.6533e-05,3.6533e-05,3.6533e-05
9,61.3453,1.02708,1.03321,1.13881,0.82375,0.69794,0.7575,0.5923,0.84456,0.77592,0.96646,2.4752e-05,2.4752e-05,2.4752e-05
10,67.7031,0.96157,1.0484,1.0992,0.77685,0.71426,0.75905,0.59326,0.84408,0.769,0.96856,1.2971e-05,1.2971e-05,1.2971e-05
