epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97862,1.01411,1.20307,1.12209,0.72526,0.69198,0.76004,0.60208,0.83951,0.65633,0.96053,4.76e-06,4.76e-06,4.76e-06
2,6.13174,0.98899,1.04243,1.13039,0.76612,0.71158,0.76529,0.61155,0.83593,0.62063,0.95869,1.01799e-05,1.01799e-05,1.01799e-05
3,9.29462,0.99983,0.96586,1.11443,0.81092,0.69372,0.77848,0.61825,0.81196,0.61964,0.94404,1.50107e-05,1.50107e-05,1.50107e-05
4,12.4734,0.97021,0.87877,1.11669,0.78495,0.71986,0.78232,0.61926,0.80472,0.65467,0.94058,1.92524e-05,1.92524e-05,1.92524e-05
5,15.6325,0.94939,0.82333,1.07731,0.82192,0.72479,0.79653,0.62815,0.80156,0.65634,0.93685,2.29051e-05,2.29051e-05,2.29051e-05
6,18.8841,0.93089,0.76411,1.05962,0.82615,0.7588,0.81736,0.64823,0.78623,0.60956,0.9258,2.59688e-05,2.59688e-05,2.59688e-05
7,22.0652,0.90864,0.72131,1.04192,0.86794,0.75221,0.82613,0.66191,0.77165,0.55011,0.91735,2.84434e-05,2.84434e-05,2.84434e-05
8,25.2339,0.86839,0.7152,1.05124,0.88117,0.7442,0.83112,0.66757,0.7643,0.52997,0.91298,3.03289e-05,3.03289e-05,3.03289e-05
9,28.3468,0.87384,0.70476,1.04546,0.86836,0.75451,0.83299,0.67029,0.75347,0.51607,0.90323,3.16254e-05,3.16254e-05,3.16254e-05
10,31.4616,0.82582,0.64203,1.03651,0.87099,0.75619,0.83489,0.67366,0.74381,0.49908,0.89887,3.23329e-05,3.23329e-05,3.23329e-05
11,38.9048,0.78355,0.60077,0.95307,0.89197,0.75539,0.8455,0.68757,0.72538,0.47439,0.89191,3.24513e-05,3.24513e-05,3.24513e-05
12,42.0008,0.76874,0.55744,0.9476,0.88692,0.76587,0.84726,0.69813,0.70577,0.45949,0.88611,3.19807e-05,3.19807e-05,3.19807e-05
13,45.1233,0.79714,0.57066,0.9591,0.88739,0.76377,0.85098,0.70739,0.68754,0.45862,0.87952,3.0921e-05,3.0921e-05,3.0921e-05
14,48.2272,0.80655,0.57181,0.9731,0.83808,0.79049,0.85312,0.70774,0.67892,0.45828,0.8748,2.92722e-05,2.92722e-05,2.92722e-05
15,51.3833,0.72511,0.5142,0.9302,0.84132,0.79678,0.85259,0.71377,0.67091,0.44856,0.87196,2.70344e-05,2.70344e-05,2.70344e-05
16,54.4709,0.78019,0.5464,0.94258,0.84998,0.80649,0.85594,0.71512,0.66902,0.43808,0.87045,2.42076e-05,2.42076e-05,2.42076e-05
17,57.6602,0.73109,0.49646,0.92357,0.85254,0.79788,0.86029,0.72117,0.66564,0.42803,0.8676,2.07917e-05,2.07917e-05,2.07917e-05
18,60.7387,0.72012,0.47944,0.92129,0.8694,0.79477,0.86186,0.72207,0.6619,0.42491,0.865,1.67867e-05,1.67867e-05,1.67867e-05
19,63.9122,0.72083,0.49127,0.93189,0.87255,0.79617,0.86128,0.72418,0.65184,0.41627,0.86197,1.21927e-05,1.21927e-05,1.21927e-05
20,67.0786,0.71035,0.48088,0.91543,0.87508,0.799,0.86371,0.72219,0.64802,0.41381,0.86114,7.0097e-06,7.0097e-06,7.0097e-06
